PAT0001|张三|女|19|13800000001|110101198101010001|门诊
PAT0002|张三|男|20|13800000002|110101198201010002|门诊
PAT0003|李四|女|21|13800000003|110101198301010003|门诊
PAT0004|患者004|男|22|13800000004|110101198401010004|门诊
PAT0005|患者005|女|23|13800000005|110101198501010005|门诊
PAT0006|患者006|男|24|13800000006|110101198601010006|门诊
PAT0007|患者007|女|25|13800000007|110101198701010007|门诊
PAT0008|患者008|男|26|13800000008|110101198801010008|门诊
PAT0009|患者009|女|27|13800000009|110101198901010009|门诊
PAT0010|患者010|男|28|13800000010|110101199001010010|门诊
PAT0011|患者011|女|29|13800000011|110101199101010011|门诊
PAT0012|患者012|男|30|13800000012|110101199201010012|门诊
PAT0013|患者013|女|31|13800000013|110101199301010013|门诊
PAT0014|患者014|男|32|13800000014|110101199401010014|门诊
PAT0015|患者015|女|33|13800000015|110101199501010015|门诊
PAT0016|患者016|男|34|13800000016|110101199601010016|门诊
PAT0017|患者017|女|35|13800000017|110101199701010017|门诊
PAT0018|患者018|男|36|13800000018|110101199801010018|门诊
PAT0019|患者019|女|37|13800000019|110101199901010019|门诊
PAT0020|患者020|男|38|13800000020|110101200001010020|门诊
PAT0021|患者021|女|39|13800000021|110101200101010021|门诊
PAT0022|患者022|男|40|13800000022|110101200201010022|门诊
PAT0023|患者023|女|41|13800000023|110101200301010023|门诊
PAT0024|患者024|男|42|13800000024|110101200401010024|门诊
PAT0025|患者025|女|43|13800000025|110101200501010025|门诊
PAT0026|患者026|男|44|13800000026|110101200601010026|门诊
PAT0027|患者027|女|45|13800000027|110101200701010027|门诊
PAT0028|患者028|男|46|13800000028|110101200801010028|门诊
PAT0029|患者029|女|47|13800000029|110101200901010029|门诊
PAT0030|患者030|男|48|13800000030|110101198001010030|门诊
PAT0031|患者031|女|49|13800000031|110101198101010031|门诊
PAT0032|患者032|男|50|13800000032|110101198201010032|门诊
PAT0033|患者033|女|51|13800000033|110101198301010033|门诊
PAT0034|患者034|男|52|13800000034|110101198401010034|门诊
PAT0035|患者035|女|53|13800000035|110101198501010035|门诊
PAT0036|患者036|男|54|13800000036|110101198601010036|门诊
PAT0037|患者037|女|55|13800000037|110101198701010037|门诊
PAT0038|患者038|男|56|13800000038|110101198801010038|门诊
PAT0039|患者039|女|57|13800000039|110101198901010039|门诊
PAT0040|患者040|男|58|13800000040|110101199001010040|门诊
PAT0041|患者041|女|59|13800000041|110101199101010041|门诊
PAT0042|患者042|男|60|13800000042|110101199201010042|门诊
PAT0043|患者043|女|61|13800000043|110101199301010043|门诊
PAT0044|患者044|男|62|13800000044|110101199401010044|门诊
PAT0045|患者045|女|63|13800000045|110101199501010045|门诊
PAT0046|患者046|男|64|13800000046|110101199601010046|门诊
PAT0047|患者047|女|65|13800000047|110101199701010047|门诊
PAT0048|患者048|男|66|13800000048|110101199801010048|门诊
PAT0049|患者049|女|67|13800000049|110101199901010049|门诊
PAT0050|患者050|男|68|13800000050|110101200001010050|门诊
PAT0051|患者051|女|69|13800000051|110101200101010051|门诊
PAT0052|患者052|男|70|13800000052|110101200201010052|门诊
PAT0053|患者053|女|71|13800000053|110101200301010053|门诊
PAT0054|患者054|男|72|13800000054|110101200401010054|门诊
PAT0055|患者055|女|73|13800000055|110101200501010055|门诊
PAT0056|患者056|男|74|13800000056|110101200601010056|门诊
PAT0057|患者057|女|75|13800000057|110101200701010057|门诊
PAT0058|患者058|男|76|13800000058|110101200801010058|门诊
PAT0059|患者059|女|77|13800000059|110101200901010059|门诊
PAT0060|患者060|男|78|13800000060|110101198001010060|门诊
PAT0061|患者061|女|79|13800000061|110101198101010061|门诊
PAT0062|患者062|男|80|13800000062|110101198201010062|门诊
PAT0063|患者063|女|81|13800000063|110101198301010063|门诊
PAT0064|患者064|男|82|13800000064|110101198401010064|门诊
PAT0065|患者065|女|83|13800000065|110101198501010065|门诊
PAT0066|患者066|男|84|13800000066|110101198601010066|门诊
PAT0067|患者067|女|85|13800000067|110101198701010067|门诊
PAT0068|患者068|男|86|13800000068|110101198801010068|门诊
PAT0069|患者069|女|87|13800000069|110101198901010069|门诊
PAT0070|患者070|男|18|13800000070|110101199001010070|门诊
PAT0071|患者071|女|19|13800000071|110101199101010071|门诊
PAT0072|患者072|男|20|13800000072|110101199201010072|门诊
PAT0073|患者073|女|21|13800000073|110101199301010073|门诊
PAT0074|患者074|男|22|13800000074|110101199401010074|门诊
PAT0075|患者075|女|23|13800000075|110101199501010075|门诊
PAT0076|患者076|男|24|13800000076|110101199601010076|门诊
PAT0077|患者077|女|25|13800000077|110101199701010077|门诊
PAT0078|患者078|男|26|13800000078|110101199801010078|门诊
PAT0079|患者079|女|27|13800000079|110101199901010079|门诊
PAT0080|患者080|男|28|13800000080|110101200001010080|门诊
PAT0081|患者081|女|29|13800000081|110101200101010081|门诊
PAT0082|患者082|男|30|13800000082|110101200201010082|门诊
PAT0083|患者083|女|31|13800000083|110101200301010083|门诊
PAT0084|患者084|男|32|13800000084|110101200401010084|门诊
PAT0085|患者085|女|33|13800000085|110101200501010085|门诊
PAT0086|患者086|男|34|13800000086|110101200601010086|门诊
PAT0087|患者087|女|35|13800000087|110101200701010087|门诊
PAT0088|患者088|男|36|13800000088|110101200801010088|门诊
PAT0089|患者089|女|37|13800000089|110101200901010089|门诊
PAT0090|患者090|男|38|13800000090|110101198001010090|门诊
PAT0091|患者091|女|39|13800000091|110101198101010091|门诊
PAT0092|患者092|男|40|13800000092|110101198201010092|门诊
PAT0093|患者093|女|41|13800000093|110101198301010093|门诊
PAT0094|患者094|男|42|13800000094|110101198401010094|门诊
PAT0095|患者095|女|43|13800000095|110101198501010095|门诊
PAT0096|患者096|男|44|13800000096|110101198601010096|门诊
PAT0097|患者097|女|45|13800000097|110101198701010097|门诊
PAT0098|患者098|男|46|13800000098|110101198801010098|门诊
PAT0099|患者099|女|47|13800000099|110101198901010099|门诊
PAT0100|患者100|男|48|13800000100|110101199001010100|门诊
PAT0101|患者101|女|49|13800000101|110101199101010101|住院
PAT0102|患者102|男|50|13800000102|110101199201010102|住院
PAT0103|患者103|女|51|13800000103|110101199301010103|住院
PAT0104|患者104|男|52|13800000104|110101199401010104|住院
PAT0105|患者105|女|53|13800000105|110101199501010105|住院
PAT0106|患者106|男|54|13800000106|110101199601010106|住院
PAT0107|患者107|女|55|13800000107|110101199701010107|住院
PAT0108|患者108|男|56|13800000108|110101199801010108|住院
PAT0109|患者109|女|57|13800000109|110101199901010109|住院
PAT0110|患者110|男|58|13800000110|110101200001010110|住院
PAT0111|患者111|女|59|13800000111|110101200101010111|住院
PAT0112|患者112|男|60|13800000112|110101200201010112|住院
PAT0113|患者113|女|61|13800000113|110101200301010113|住院
PAT0114|患者114|男|62|13800000114|110101200401010114|住院
PAT0115|患者115|女|63|13800000115|110101200501010115|住院
PAT0116|患者116|男|64|13800000116|110101200601010116|住院
PAT0117|患者117|女|65|13800000117|110101200701010117|住院
PAT0118|患者118|男|66|13800000118|110101200801010118|住院
PAT0119|患者119|女|67|13800000119|110101200901010119|住院
PAT0120|患者120|男|68|13800000120|110101198001010120|住院
PAT0121|患者121|女|69|13800000121|110101198101010121|住院
PAT0122|患者122|男|70|13800000122|110101198201010122|住院
PAT0123|患者123|女|71|13800000123|110101198301010123|住院
PAT0124|患者124|男|72|13800000124|110101198401010124|住院
PAT0125|患者125|女|73|13800000125|110101198501010125|住院
PAT0126|患者126|男|74|13800000126|110101198601010126|住院
PAT0127|患者127|女|75|13800000127|110101198701010127|住院
PAT0128|患者128|男|76|13800000128|110101198801010128|住院
PAT0129|患者129|女|77|13800000129|110101198901010129|住院
PAT0130|患者130|男|78|13800000130|110101199001010130|住院
PAT0131|小明|男|19|11111111111|111111111111111111|门诊
